Luas_Tanah,Luas_Bangunan,Jumlah_Kamar_Tidur,Umur_Bangunan,Jarak_ke_Pusat_Kota,Harga_Properti
198.9,35.33,2,0,12.22,3163.42
70.9,70.9,3,4,9.97,3241.2
418.11,342.6,3,9,8.96,5000.0
102.14,102.14,3,22,7.49,3418.78
378.32,346.52,3,14,11.49,5000.0
120.2,120.2,5,4,4.35,4839.11
89.82,89.82,5,20,16.2,3222.11
417.75,56.92,1,11,14.41,3503.9
276.19,276.19,5,20,12.92,5000.0
354.9,322.88,2,14,19.05,5000.0
294.21,287.51,2,24,8.55,5000.0
483.1,396.49,2,23,11.76,5000.0
152.57,56.34,5,21,4.33,3856.61
150.92,150.92,3,4,16.02,3922.57
73.17,73.17,1,11,12.31,2773.67
126.74,126.74,1,27,2.25,4004.14
424.6,81.83,3,1,1.25,5000.0
413.78,43.3,1,20,9.37,3020.59
316.59,289.73,1,16,1.69,5000.0
65.47,65.47,5,2,8.09,4163.71
342.33,112.73,4,21,5.43,4959.01
181.47,181.47,1,23,2.27,4453.29
302.57,190.53,2,18,10.26,5000.0
343.38,306.04,4,13,11.25,5000.0
336.38,336.38,2,7,5.9,5000.0
398.81,226.6,1,4,5.22,5000.0
272.21,257.86,1,18,16.2,3996.91
185.4,185.4,5,7,18.8,4597.05
400.94,60.9,1,30,17.05,2173.58
397.07,235.11,5,28,9.01,5000.0
272.83,43.82,5,2,18.98,3815.26
413.65,231.88,3,28,11.53,5000.0
115.2,115.2,2,30,7.35,3215.12
211.31,185.25,2,0,16.53,4351.2
276.21,188.73,1,3,5.98,4740.02
139.85,139.85,5,29,4.9,4270.02
479.27,259.45,4,19,6.46,5000.0
90.63,90.63,3,9,6.17,3656.83
216.57,99.6,2,25,5.44,3573.91
366.36,95.65,1,12,7.76,3554.78
218.54,138.95,1,0,15.01,3852.44
379.4,344.92,1,17,5.27,5000.0
83.32,83.32,5,5,17.96,3133.5
190.27,190.27,5,27,1.48,5000.0
64.14,64.14,1,18,13.04,2161.89
437.33,38.61,3,4,8.28,4694.54
458.72,68.16,5,1,10.43,5000.0
483.63,390.53,3,17,8.3,5000.0
103.82,103.82,1,20,15.51,2723.87
196.33,45.07,2,0,8.78,3191.06
128.46,128.46,5,25,14.91,3380.94
207.14,207.14,1,30,19.45,3321.64
61.44,61.44,4,2,6.1,3367.26
187.08,187.08,3,23,8.61,4458.01
172.11,59.03,2,13,5.62,3170.75
335.09,335.09,5,10,16.19,5000.0
487.3,328.53,2,19,6.65,5000.0
486.46,396.32,2,7,13.01,5000.0
56.96,56.96,5,10,1.8,3759.46
449.19,169.22,2,27,17.38,3915.85
281.41,270.49,2,30,4.62,5000.0
158.92,158.92,1,3,2.43,4472.89
120.21,92.71,4,9,3.68,3970.43
193.1,64.94,5,29,12.41,3398.76
79.27,79.27,5,11,15.74,3006.54
178.18,156.1,3,4,14.92,3899.28
471.53,159.84,1,29,14.15,3837.89
213.63,213.63,4,23,14.66,4512.82
422.93,39.38,4,25,14.72,3752.89
195.44,195.44,1,14,8.4,4196.6
53.13,53.13,5,26,10.86,2501.08
487.85,57.3,1,7,19.96,2956.15
54.14,54.14,3,13,3.29,3221.6
397.51,233.21,1,7,1.25,5000.0
455.19,168.48,2,23,14.25,4473.45
176.42,176.42,2,3,16.77,3931.77
166.45,77.01,5,7,13.24,3655.37
425.89,195.92,3,7,12.21,5000.0
104.92,41.29,1,11,17.37,1798.1
99.52,99.52,2,3,13.64,3393.3
270.25,270.25,4,18,15.65,5000.0
214.86,214.86,2,5,15.25,4205.74
361.35,270.21,5,0,6.99,5000.0
444.8,67.42,1,7,19.77,2913.27
330.48,310.4,4,14,8.21,5000.0
248.07,248.07,4,1,4.46,5000.0
122.36,73.96,1,10,14.77,2141.88
284.03,109.85,5,28,3.97,5000.0
396.94,177.45,3,6,18.0,4594.04
91.9,61.39,1,3,18.39,2234.73
334.54,334.54,2,19,16.56,5000.0
459.19,163.27,3,0,6.14,5000.0
66.6,66.6,1,28,5.08,2524.38
466.11,258.74,1,14,5.2,5000.0
319.4,147.26,5,23,9.6,5000.0
162.18,162.18,5,14,10.99,4596.23
452.67,265.85,1,27,13.77,5000.0
201.93,201.93,5,12,12.46,5000.0
226.89,226.89,2,14,7.66,4825.41
334.9,167.14,4,4,6.65,5000.0
309.61,198.18,4,8,17.6,5000.0
133.18,61.58,2,10,13.52,2597.71
291.1,242.17,2,29,14.2,4708.3
438.4,161.71,3,30,5.93,5000.0
484.53,243.96,2,13,10.96,5000.0
95.66,34.2,5,7,2.46,3737.83
439.78,287.53,5,9,8.96,5000.0
57.46,57.46,2,25,9.47,2199.89
180.39,173.62,3,6,3.24,5000.0
370.96,205.18,1,7,3.66,5000.0
78.6,72.95,2,24,6.09,2642.96
215.47,215.47,4,21,11.05,4398.66
451.42,388.64,3,20,15.58,5000.0
262.5,66.2,4,13,19.02,3296.43
320.5,240.92,5,11,18.38,5000.0
145.55,145.55,5,19,13.61,3920.74
196.4,130.21,1,18,5.53,3838.71
156.76,156.76,3,25,12.89,3702.95
149.95,149.95,4,21,15.02,3423.66
286.14,286.14,2,8,8.88,5000.0
194.35,138.49,3,5,7.86,4659.68
52.48,52.48,5,6,4.95,3536.99
345.93,34.5,4,24,17.53,3182.48
474.31,301.98,5,30,5.66,5000.0
322.89,71.14,3,28,5.37,4168.57
407.67,262.88,3,8,10.12,5000.0
210.54,210.54,2,29,17.26,3612.37
319.05,298.65,1,29,1.37,5000.0
390.0,246.74,5,0,6.17,5000.0
486.31,49.12,3,8,1.51,5000.0
129.7,129.7,4,2,3.1,4757.13
340.33,51.3,1,11,17.59,3022.64
52.28,50.83,1,21,7.46,2428.83
158.83,60.1,3,15,11.79,3009.47
242.68,242.68,4,1,19.77,5000.0
348.58,203.4,5,8,14.23,5000.0
305.74,305.74,4,0,1.4,5000.0
315.9,308.38,5,22,3.6,5000.0
70.35,70.35,4,4,13.4,3043.19
296.02,260.47,2,7,14.6,5000.0
449.25,205.44,2,1,6.59,5000.0
112.77,112.77,1,14,12.31,3063.07
138.19,138.19,5,4,4.39,5000.0
454.35,365.35,2,18,12.33,5000.0
215.5,148.15,4,4,5.68,5000.0
461.69,132.63,1,24,6.63,4321.82
299.84,299.84,4,11,18.58,5000.0
453.75,395.06,5,4,1.64,5000.0
279.84,134.29,5,9,1.89,5000.0
93.95,93.95,1,10,11.63,3196.38
392.73,34.01,5,25,10.41,4112.95
375.1,363.43,4,24,8.94,5000.0
477.82,172.49,1,5,9.59,5000.0
472.77,230.03,5,13,5.39,5000.0
175.39,175.39,3,12,1.98,5000.0
237.83,73.72,2,0,4.16,4160.71
157.8,157.8,1,26,12.34,3232.11
278.86,90.29,4,19,16.86,3752.63
98.55,98.55,2,6,11.29,3368.09
411.65,385.64,4,0,4.92,5000.0
336.9,290.35,3,22,9.29,5000.0
122.73,122.73,2,21,1.7,4290.89
368.09,368.09,1,13,4.45,5000.0
370.48,370.48,1,20,7.06,5000.0
296.93,73.48,5,22,2.24,5000.0
453.24,36.74,3,0,12.35,4311.45
433.85,394.9,3,26,13.91,5000.0
325.33,325.33,5,10,10.54,5000.0
288.34,288.34,2,3,4.43,5000.0
139.42,139.42,4,7,2.62,5000.0
234.67,39.81,2,28,4.26,3433.67
131.82,131.82,1,0,4.38,4046.01
392.35,94.08,4,7,17.5,4267.14
111.88,73.31,1,17,17.13,1957.74
191.46,191.46,1,9,3.65,4525.03
