Model,Degree,Train_R²,Test_R²,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_MAPE,Test_MAPE,Overfit_Score
Linear Regression,1,0.7828581080471285,0.7550373166308688,410.35632057744624,453.2011255307299,336.07957582535226,385.29707432615874,8.620195101949674,9.864113887295648,0.027820791416259705
Linear Regression,2,0.9558527423744471,0.9475661225288657,185.02958885245621,209.67516904877397,148.68395741737046,161.6175804096829,3.8110577979027713,3.973592829570368,0.008286619845581322
Linear Regression,3,0.9729582102842025,0.9112191802550194,144.81282772511207,272.8353189797304,115.30836614504959,201.83743576967112,2.9765406207925835,5.138367409102564,0.06173903002918313
Linear Regression,4,0.9916853129755986,0.816276638677387,80.2993947021631,392.4851284408162,60.911818471805546,292.20819966320084,1.5840037679898875,7.529728887567372,0.1754086742982116
Linear Regression,5,1.0,-1.9117214035366947,4.646385518193027e-07,1562.4852413435276,3.421519003105849e-07,1063.9346580893618,8.805904342393538e-09,26.81992439074408,2.9117214035366947
Ridge (α=0.1),1,0.7828579843057208,0.7550290673702291,410.35643750113394,453.2087563720507,336.0950875456939,385.3246309319679,8.621829758013703,9.866173059323112,0.02782891693549172
Ridge (α=0.1),2,0.9558489683507877,0.9475008642403452,185.03749751043583,209.8056075035038,148.66214162010917,161.6773618434558,3.8099622972294815,3.975147355844349,0.008348104110442511
Ridge (α=0.1),3,0.9729249118150254,0.9132982485601684,144.90195943593616,269.6217664727622,115.23746530685524,200.19870958352365,2.972225455546308,5.100350561268842,0.05962666325485699
Ridge (α=0.1),4,0.9906789562705625,0.8741788605798344,85.02009601243924,324.8013467298623,64.68883125992878,235.02812963735875,1.6838840585994865,6.064424946805492,0.11650009569072806
Ridge (α=0.1),5,0.9999005495018436,-1.4173665991264897,8.781987200338083,1423.6796358301197,5.579994213657102,989.0888487905196,0.14397696391447554,24.76914337474525,2.4172671486283335
Ridge (α=1),1,0.7828458311505271,0.7549441570693194,410.367920897553,453.28729376715575,336.2342835344975,385.57209359051836,8.636484378895167,9.884635585408828,0.027901674081207695
Ridge (α=1),2,0.9555359206398478,0.9466568263525583,185.69233213918477,211.4854236725057,148.4579364912311,162.24806584716407,3.7994201411576958,3.9894679034537903,0.008879094287289502
Ridge (α=1),3,0.9722225919353409,0.9173254557348806,146.7692847474572,263.28548633720936,115.82868595328462,200.09136254500717,2.9717663323573444,5.13160934178819,0.05489713620046033
Ridge (α=1),4,0.988377129218274,0.8523291696772242,94.93929952438017,351.8749680994803,73.83159575776256,256.0767765156337,1.9355198892406957,6.665316029953947,0.13604795954104987
Ridge (α=1),5,0.9993912042757054,-0.7438985742278785,21.728268293561946,1209.2097094083174,13.400866502587716,815.0963326162184,0.3540282215487747,20.136526714733925,1.743289778503584
Ridge (α=10),1,0.7817210417984548,0.7531342106546717,411.429335714603,454.9581708723993,338.08603072256705,387.9886207600449,8.788205594776194,10.06249688587114,0.02858683114378313
Ridge (α=10),2,0.944021621510346,0.9327769904127203,208.3528644076181,237.4105370331587,165.67060470049145,185.7345109680227,4.20817395181083,4.5790189809779775,0.011244631097625635
Ridge (α=10),3,0.9673490712395559,0.9118546240870845,159.1245131895171,271.85716367213223,122.98423411745647,213.49449763697208,3.1486392374488434,5.574682346008967,0.05549444715247143
Ridge (α=10),4,0.9840229771422125,0.8772654982112676,111.31078527160474,320.79260364871396,85.37077238243958,236.40028398738343,2.257434059251971,5.7873777583307024,0.1067574789309449
Ridge (α=10),5,0.9964611744002467,-0.6292779189801703,52.38644146886688,1168.7956868205954,33.08053280611156,683.7439544210904,0.8745145450534625,18.446713310714195,1.625739093380417
Lasso (α=0.1),1,0.7828580732658266,0.7550295313220193,410.3563534424231,453.2083272045752,336.08890917552645,385.3184507576938,8.621052700389406,9.865298201403403,0.02782854194380724
Lasso (α=0.1),2,0.9558522009681281,0.9474898057012971,185.0307234176237,209.82770330853256,148.6794868184375,161.80815044468227,3.81022598084071,3.9781884389812836,0.008362395266830913
Lasso (α=0.1),3,0.972933204760891,0.9134050819368861,144.87976641246337,269.45560211070347,115.25189059302781,199.55602974480647,2.973994245582555,5.083590478861377,0.05952812282400488
Lasso (α=0.1),4,0.9906140360957176,0.8873469813098331,85.31566066439478,307.33528997547364,65.0504588991015,227.46027707249587,1.6875547970216886,5.958707308162927,0.1032670547858845
Lasso (α=0.1),5,0.9984468370330787,0.170959302931443,34.70546213145701,833.7367394802711,20.853040527716505,541.3928553630569,0.5492850772908847,15.245072048393151,0.8274875341016357
Lasso (α=1),1,0.7828545636445814,0.7549453287233003,410.3596696825856,453.2862101437442,336.17536282439136,385.51935927792925,8.628872629035225,9.876208930822493,0.027909234921281056
Lasso (α=1),2,0.9557989344235324,0.9467448959354882,185.14231421449722,211.31077033089713,148.64012150108834,163.51788578474603,3.802794846297794,4.0194348375378,0.009054038488044203
Lasso (α=1),3,0.9723363091675882,0.9220344923169914,146.46854909654508,255.67735803546,115.32393053714385,190.95165513602248,2.967713245258722,4.907222641624682,0.05030181685059676
Lasso (α=1),4,0.9869984441511773,0.8757749473471604,100.41231533453352,322.7346602280507,75.2540882091303,235.70060484580685,1.9744580927202486,6.26243514659439,0.11122349680401689
Lasso (α=1),5,0.9955368899022151,0.34494470769635177,58.83125575384351,741.1054282301207,40.21112578231868,455.28226531655946,1.060908385091152,13.886783190699967,0.6505921822058633
Lasso (α=10),1,0.782502981960205,0.7537921106733558,410.6917434170747,454.35153218656956,337.2732644957675,387.52844448028327,8.71201892253879,9.98531622501339,0.028710871286849127
Lasso (α=10),2,0.9519349898272651,0.9383071951862276,193.0651281473858,227.4355095758545,152.7558907210721,175.3066569337339,3.892123268959544,4.296169573218699,0.013627794641037472
Lasso (α=10),3,0.9644998210184657,0.9162053659779501,165.9222352162922,265.0630058712994,127.51170244521263,207.76632102494634,3.300926909314697,5.459059009527583,0.04829445504051555
Lasso (α=10),4,0.9745611961668195,0.8975062917993998,140.45514793869887,293.1498102791673,102.82653706573991,223.5217567597694,2.683408390601659,5.815946888609277,0.07705490436741969
Lasso (α=10),5,0.9838047850267442,0.47224741328152653,112.06827236117758,665.206064210993,80.60957486124914,413.6956587084763,2.134807368113221,12.242811806081377,0.5115573717452176
